section	id	function_name	llvm_call	kaintana_target	description	hooks	notes
SHADER_SURFACE	19	emit_gpu_set_uniform	load i64 (i64, i32, i8*, i64)*, i64 (i64, i32, i8*, i64)** %cast	Load function pointer	Loads the set_uniform function pointer.		
SHADER_SURFACE	20	emit_gpu_set_uniform	bitcast %data_ty* %data to i8*	Pointer cast	Casts the uniform data pointer to i8* for the set_uniform call.		
SHADER_SURFACE	21	emit_gpu_set_uniform	call i64 %fn(i64 %session, i32 %binding, i8* %data, i64 %size)	set_uniform in KainGpuSurfaceExtension	Calls set_uniform to update GPU uniform buffer before rendering.		
LLVM_INTRINSIC	1	compile_surface_frame_loop	call void @llvm.memset.p0i8.i64(i8* %ptr, i8 0, i64 8, i1 false)	LLVM memset intrinsic	Zero-initializes the 8-byte platform handle struct before session_attach_platform.	Could hook to pre-fill with platform-specific defaults.	Used for both native UI and shader surface platform handle init.
LLVM_INTRINSIC	3	compile_component_render	(implicit via emit_entry_alloca)	alloca	Entry-hoisted stack allocations for function parameters and state fields.		All alloca calls are hoisted to function entry for optimal SSA form.
LLVM_INTRINSIC	4	compile_component_render	(implicit via emit)	store	Stores function parameters (props) into their alloca slots.		
LLVM_INTRINSIC	5	compile_component_render	(implicit via emit)	ret void	Function termination	Returns from the render function.		
CALLBACK_BIND	1	compile_jsx_callback	compile_static_c_string_literal(event_kind)	Compiler string pool	Emits the event kind string (e.g. "click", "change", "toggle") into the static string pool.		
CALLBACK_BIND	2	compile_jsx_callback	compile_expr(fn_expr)	Compiler expression evaluator	Compiles the callback handler expression to get its function pointer value.	The handler must yield a void (i64,i64,i8*)* compatible function pointer.	
CALLBACK_BIND	3	compile_jsx_callback	bitcast %handler_ty %handler_val to %KainComponentCallback	Type cast	Casts the handler function pointer to the canonical callback type void (i64, i64, i8*)*.		
CALLBACK_BIND	4	compile_jsx_callback	bitcast %KainComponentCallback %cb to i8*	Type cast	Casts the typed callback pointer to void* for storage in the vtable.		
CALLBACK_BIND	5	compile_jsx_callback	element_set_callback via emit_vtable_call_void (OFF_ELEMENT_SET_CALLBACK, slot 23)	slot 23: element_set_callback	Registers the callback function pointer on the element for the named event.	Could hook to auto-debounce: wrap callback with timer.	The backend stores the callback for invocation when the event fires.
CALLBACK_BIND	6	compile_jsx_attr	Callback detection: matches!(JSXAttrValue::Callback(_, _))	Early return	Routes callback attributes to compile_jsx_callback before the normal attribute mapping.		Callback arm in compile_jsx_attr is unreachable for Callback variants.
COMPONENT_CALL	1	compile_component_render	define void @Name_render(%KainComponentSurface* %arg0, i64 %arg1, i64 %arg2, ...)	LLVM function definition	Defines the component render function with surface, session, parent, and props as parameters.		
COMPONENT_CALL	2	compile_component_render	store %ty %argN, %ty* %prop.addr	Stack store	Stores each prop parameter into its entry-alloca slot for local access.		
COMPONENT_CALL	3	compile_jsx_component_call	declare void @Name_render(%KainComponentSurface*, i64, i64, ...)	LLVM function declaration	Emits a forward declaration for cross-module component renders.		Skips if already defined in current module (checked via self.functions.contains_key).
COMPONENT_CALL	4	compile_jsx_component_call	call void @Name_render(%KainComponentSurface* %surf, i64 %session, i64 %parent, props...)	Component render invocation	Calls the child component's render function, passing surface, session, parent, and compiled props.	Could hook to measure child render time.	Props in declaration order; missing props get zero/empty defaults.
COMPONENT_CALL	5	compile_jsx_component_call	(prop compilation) compile_string_literal / compile_expr / zero_value_for_ty	Prop argument evaluation	Evaluates each prop value: string literals → i8*, bool → i64 1/0, expressions → compiled value, callbacks → function pointer.		
COMPONENT_CALL	6	compile_jsx_component_call	(zero default) zero_value_for_ty(_prop_ty)	Default value generation	Generates zero/empty default for props not provided at call site.	Could allow prop-level default values from component definition.	
COMPONENT_CALL	7	compile_jsx_component_call	compile_jsx_to_surface for children under parent_reg	JSX tree walk	Compiles child JSX nodes as siblings under the same parent after the component render call.		Children render after the component, maintaining sibling ordering across component boundaries.
EXPR_EVAL	1	compile_jsx_expression	compile_expr(expr)	Compiler expression evaluator	Evaluates an arbitrary Kain expression within a JSX context.		
EXPR_EVAL	2	compile_jsx_expression	stringify_value(val, ty)	Compiler string conversion	Converts non-string expression results to i8* strings for element_set_text.	Could hook to apply locale-specific number formatting.	
EXPR_EVAL	3	compile_jsx_expression	element_set_text via emit_vtable_call_void (direct i8* path)	slot 4: element_set_text	Sets expression text when result is already i8* (no stringification needed).		
EXPR_EVAL	4	try_inline_component_method	compile_expr calls for method arguments	Compiler expression evaluator	Evaluates method call arguments, binding them to method parameter names as locals.		
EXPR_EVAL	5	try_inline_component_method	store %ty %val, %ty* %param.addr	Stack store	Stores each method argument into its parameter's alloca slot.		
EXPR_EVAL	6	try_inline_component_method	compile_block_with_result(&method.body)	Compiler block evaluator	Compiles the method body inline, returning the result value and type.		
EXPR_EVAL	7	try_inline_component_method	scopes.push/pop for parameter scope	Scope management	Pushes a new scope for method parameters, pops after compilation to clean up locals.		
EXPR_EVAL	8	try_inline_component_method	Component method call detection (Expr::Call / Expr::MethodCall)	AST pattern matching	Detects `method_name(args...)` and `self.method_name(args...)` patterns.	Could extend to support `super.method()` for component inheritance.	Falls through to normal compile_expr if not a component method.
EXPR_EVAL	9	try_inline_component_method	Arg count validation: call_args.len() != method.params.len()	Compile-time check	Verifies argument count matches parameter count; returns KainError::codegen on mismatch.		
FLOW_CONTROL	1	compile_jsx_if	compile_expr(condition)	Compiler expression evaluator	Evaluates the if/elif condition expression.		
FLOW_CONTROL	2	compile_jsx_if	icmp ne i64 %val, 0	Comparison	Coerces non-i1 condition results to i1 (bool is lowered to i1 in LLVM).		
FLOW_CONTROL	3	compile_jsx_if	br i1 %cond, label %then_block, label %else_block	Conditional branch	Branches to then or else block based on condition.		
FLOW_CONTROL	4	compile_jsx_if	br label %done_block	Unconditional branch	After then/else branch completes, jumps to merge block.		
FLOW_CONTROL	5	compile_jsx_if	compile_jsx_to_surface for then/else bodies	JSX tree walk	Compiles the JSX body for each branch, using distinct sibling_index values for stable keys.		
FLOW_CONTROL	6	compile_jsx_for	compile_expr(iter)	Compiler expression evaluator	Evaluates the iterable expression (e.g. an array).		
FLOW_CONTROL	7	compile_jsx_for	call i64 @runtime_array_len(i8* %iter)	Compiler runtime helper	Gets the length of the runtime array for loop bounds.		Assumes iterable is a runtime array (i8* handle).
FLOW_CONTROL	8	compile_jsx_for	alloca i64 (index pointer)	Stack allocation	Allocates loop index variable on stack.		
FLOW_CONTROL	9	compile_jsx_for	store i64 0, i64* %idx_ptr	Stack write	Initializes loop index to 0.		
FLOW_CONTROL	10	compile_jsx_for	br label %loop_header	Unconditional branch	Enters the loop header.		
FLOW_CONTROL	11	compile_jsx_for	load i64, i64* %idx_ptr	Stack read	Loads current loop index in header.		
FLOW_CONTROL	12	compile_jsx_for	icmp sge i64 %idx, %len	Comparison	Checks if index >= length (signed greater-or-equal).		
FLOW_CONTROL	13	compile_jsx_for	br i1 %done, label %loop_done, label %loop_body	Conditional branch	Branches to done or body based on loop condition.		
FLOW_CONTROL	14	compile_jsx_for	call i8* @runtime_array_get(i8* %iter, i64 %idx)	Compiler runtime helper	Gets the item at the current index from the runtime array.		
FLOW_CONTROL	15	compile_jsx_for	alloca i8* (item address)	Stack allocation	Allocates stack slot for the loop item.		
FLOW_CONTROL	16	compile_jsx_for	store i8* %item, i8** %item_addr	Stack write	Stores current item into its alloca for body access.		
FLOW_CONTROL	17	compile_jsx_for	add i64 %parent_reg, %idx	Arithmetic	Creates child_parent = parent_reg + idx for unique stable keys per iteration.		
FLOW_CONTROL	18	compile_jsx_for	compile_jsx_to_surface for body under child_parent	JSX tree walk	Compiles the for body with the index-encoded parent for stable keys.		
FLOW_CONTROL	19	compile_jsx_for	add i64 %idx, 1	Increment	Increments loop index.		
FLOW_CONTROL	20	compile_jsx_for	store i64 %next_idx, i64* %idx_ptr	Stack write	Stores incremented index back.		
FLOW_CONTROL	21	compile_jsx_for	br label %loop_header	Unconditional branch	Loops back to header.		
STABLE_KEY	1	emit_stable_key	compile_static_c_string_literal(path_prefix)	Compiler string pool	Emits the path prefix string (e.g. "ComponentName:tag").		
STABLE_KEY	2	emit_stable_key	compile_static_c_string_literal(":")	Compiler string pool	Emits colon separator for key concatenation.		
STABLE_KEY	3	emit_stable_key	call i8* @str_concat(i8* %prefix, i8* %colon)	Runtime string concat	Calls runtime string concatenation to build "prefix:".	Could hook to intern strings for deduplication.	str_concat is declared by the main module preamble.
STABLE_KEY	4	emit_stable_key	call i8* @to_string(i64 %parent_id)	Runtime int-to-string	Converts parent_id (i64) to string for key composition.	to_string declared by main module preamble; not re-declared here to avoid duplicates.
STABLE_KEY	5	emit_stable_key	call i8* @str_concat(i8* %step1, i8* %parent_str)	Runtime string concat	Concatenates "prefix:" + parent_to_string → "ComponentName:tag:42".		
STABLE_KEY	6	emit_stable_key	compile_static_c_string_literal(":sibling_index")	Compiler string pool	Emits the sibling index suffix (e.g. ":0", ":1").		
STABLE_KEY	7	emit_stable_key	call i8* @str_concat(i8* %step2, i8* %si_str)	Runtime string concat	Final concatenation: "ComponentName:tag:42:0" → complete stable key.		
STABLE_KEY	8	emit_stable_key	(return value)	Stable key	Returns a unique stable key string: "ComponentName:path:parent_id:sibling_index".	Key format enables deterministic re-identification of elements across frames.	
VTABLE_CALL	1	emit_vtable_call	getelementptr inbounds %KainComponentSurface, %KainComponentSurface* %surf, i32 0, i32 %offset	GEP into vtable	Gets a pointer to the vtable slot at the given offset (produces i8**).		Uses uniform i8* slot type; bitcast resolves actual function pointer type.
VTABLE_CALL	2	emit_vtable_call	bitcast i8** %gep to %fn_ptr_ptr_ty	Type cast	Casts the generic i8** slot pointer to the specific function-pointer-pointer type.		fn_ptr_ptr_ty is constructed as "%fn_ptr_ty*".
VTABLE_CALL	3	emit_vtable_call	load %fn_ptr_ty, %fn_ptr_ptr_ty* %cast	Load function pointer	Loads the actual function pointer from the vtable slot.		Null function pointers would crash here — backend must populate all slots.
VTABLE_CALL	4	emit_vtable_call	call %ret_ty %fn_ptr(%args)	Indirect function call	Performs the indirect call through the loaded function pointer.	Could hook to time every vtable call for profiling.	Two paths: void return (no result register) vs typed return (result register).
VTABLE_CALL	5	emit_vtable_call	(ret_ty extraction) fn_ptr_ty.split('(').next()	Return type parsing	Extracts the return type from the function pointer type string for the call instruction.		Defaults to "i64" if parsing fails.
VTABLE_CALL	6	emit_vtable_call_void	emit_vtable_call(surface_reg, offset, fn_ptr_ty, args)	Delegation	Convenience wrapper: calls emit_vtable_call and discards the (empty) result register.		
PULSE_RESONATE	1	compile_component_render	define internal void @__kain_pulse_fire_{name}() { ret void }	Pulse handler stub	Emits a minimal stub function for component-inline pulse handlers.	The real handler body would be emitted by top-level pulse codegen in mod.rs.	
PULSE_RESONATE	2	compile_component_render	define internal void @__kain_resonate_{name}() { ret void }	Resonate handler stub	Emits a minimal stub function for component-inline resonate handlers.		
PULSE_RESONATE	3	emit_component_pulse_resonate_registration	state_get_i64 via emit_vtable_call (OFF_STATE_GET_I64, slot 8)	slot 8: state_get_i64	Checks sentinel key "{name}:__pulses_init" to see if pulse/resonate registration has already occurred.	Could use a dedicated "component_init" vtable slot instead of overloading state.	Sentinel -1 = first render (not yet registered).
PULSE_RESONATE	4	emit_component_pulse_resonate_registration	icmp eq i64 %init_flag, -1	Sentinel check	Determines if this is the first render (needs registration).		
PULSE_RESONATE	5	emit_component_pulse_resonate_registration	br i1 %needs_init, label %register, label %skip	Branch	Skips registration on subsequent frames.		
PULSE_RESONATE	6	emit_component_pulse_resonate_registration	state_set_i64 via emit_vtable_call_void ("1")	slot 9: state_set_i64	Marks registration as done by setting sentinel to 1.		
PULSE_RESONATE	7	emit_component_pulse_resonate_registration	ptrtoint i8* %token_str to i64	Pointer-to-int conversion	Derives a unique token from the component+pulse name string pointer for kain_machine_pulse_start.	Token is the runtime address of the static string; deterministic per compilation.	
PULSE_RESONATE	8	emit_component_pulse_resonate_registration	call i64 @kain_machine_pulse_start(i64 %token, i64 16_000_000, i64 0, void ()* @handler)	kain_machine_pulse_start() in machine_stones.c	Registers a component-inline pulse with 16ms default interval (60Hz) and 0 jitter.	Could hook to parse real interval from pulse.ast.interval.	Currently hardcoded to 16ms; future should resolve from AST.
PULSE_RESONATE	9	emit_component_pulse_resonate_registration	call void @abi_resonate_register(i8* %target, i64 16_000_000, void ()* @handler)	abi_resonate_register()	Registers a component-inline resonate tripwire with 16ms default dampening.	Could hook to parse real dampen from resonate.ast.dampen.	Also hardcoded to 16ms.
PULSE_RESONATE	10	emit_component_pulse_resonate_registration	br label %skip_block	Unconditional branch	Merges register and skip paths.		
ATTRIBUTE_SET	36	compile_jsx_attr (String value → text)	element_set_text via emit_vtable_call_void	slot 4: element_set_text	When attr name is "value" with a string value, emits element_set_text directly.		
ATTRIBUTE_SET	37	compile_jsx_attr (String value → i64 attr)	element_set_attr_i64 via emit_vtable_call_void	slot 5: element_set_attr_i64	When attr is mapped to i64 but value is a string, converts known keywords to ints ("vertical"/"column"→1, "horizontal"/"row"→0).	Could use a data-driven keyword→int table.	Unknown strings default to 0.
ATTRIBUTE_SET	38	compile_jsx_attr (String value → string attr)	element_set_attr_string via emit_vtable_call_void	slot 7: element_set_attr_string	Emits string attribute with style_key and string value through the vtable.		Default path for string-valued attributes (including unknown attrs).
ATTRIBUTE_SET	39	compile_jsx_attr (Bool true → text)	element_set_text via emit_vtable_call_void (with string "true")	slot 4: element_set_text	When attr name is "value" with Bool(true), emits text "true".		
ATTRIBUTE_SET	40	compile_jsx_attr (Bool true → f64 attr)	element_set_attr_f64 via emit_vtable_call_void (with "1.0")	slot 6: element_set_attr_f64	Emits 1.0 as double for f64-mapped boolean attributes.		
ATTRIBUTE_SET	41	compile_jsx_attr (Bool true → i64/string attr)	element_set_attr_i64 with "1" or element_set_attr_string with "1"?	slot 5 or 7	Emits 1 as i64 for i64-mapped boolean attributes.	Bool false is a no-op (attribute not set).	
ATTRIBUTE_SET	42	compile_jsx_attr (Bool false)	No LLVM output	No-op	Bool false → attribute not set (no vtable call emitted).	Contrast with Bool true which emits explicit value.	
ATTRIBUTE_SET	43	compile_jsx_attr (Expr → text)	element_set_text via emit_vtable_call_void	slot 4: element_set_text	Evaluates expression and emits result as text content.		
ATTRIBUTE_SET	44	compile_jsx_attr (Expr → typed attr)	element_set_attr_{i64,f64,string} via emit_vtable_call_void	slot 5/6/7	Evaluates expression, coerces to correct type, emits attribute call with style_key.	Could emit resonate tripwire if expression references world state.	Type determined by mapped vtable offset.
ATTRIBUTE_SET	45	compile_jsx_attr (coerce: i1 → i64)	zext i1 %val to i64	Zero-extension	Widens i1 to i64 for attributes that expect i64 (e.g. disabled, checked).		
ATTRIBUTE_SET	46	compile_jsx_attr (coerce: i64 → f64)	sitofp i64 %val to double	Signed int-to-float conversion	Promotes i64 to double for attributes that expect f64 (e.g. width, height from integer expressions).		
SETUP	1	compile_component_render	declare_surface_trait_types() call	Type preamble	Ensures surface trait types and extern declarations are emitted before the first component.	One-time guard: surface_trait_declared flag.	
SETUP	2	compile_component_render	state clear: reg_count, locals, ssa_locals, scopes, etc.	Generator reset	Resets the LLVM generator state before compiling a new component.		
SETUP	3	compile_component_render	emit_label("entry")	LLVM basic block	Creates the entry basic block for the render function.		
SETUP	4	compile_component_render	current_component_{name,methods,session,parent} set	Context tracking	Sets the current component context so JSX methods (try_inline_component_method) can resolve self.	Cleared at end of render function.	
SETUP	5	compile_surface_frame_loop	declare_surface_trait_types() call	Type preamble	Ensures surface trait types are declared before frame loop emission.		
SETUP	6	compile_component_render	surface/session/parent assignment from %arg0/%arg1/%arg2	Parameter binding	Names the first three args as surface_reg, session_reg, parent_reg for readability.		
SETUP	7	compile_jsx_component_call	component_defs lookup	Compiler metadata	Looks up component prop definitions to compile props in declaration order.	Missing defs default to empty vec.	
