api_name	file	section	formula	parameters	returns	source_framework	proof_file	z3_status	branchless
kt_hit_test_z_ordered	hit_test.c	5.1 Spatial Queries	reverse walk arena: for i=arena.count-1..0: if !collapse && interactive && contains: return i	session:KaintanaSession*,px:float,py:float	int32_t	Clay,ImGui		UNSAT	no
kt_hit_active_id_track	hit_test.c	5.1 Spatial Queries	PRESSED: hit=hit_test_z_ordered, active_id=hit; RELEASED: fire_callback(session,active_id,click), active_id=-1	session:KaintanaSession*,px:float,py:float,pointer_state:int	void	ImGui		UNSAT	no
kt_hit_drag_threshold_exceeded	hit_test.c	5.1 Spatial Queries	dist_sq=dx*dx+dy*dy; return dist_sq>threshold*threshold	press:kt_Vec2,current:kt_Vec2,threshold:float	bool	Universal		UNSAT	yes
kt_spatial_tile_index	spatial.c	6.1 Tile Grid Partitioning	tile_x=floor(px/16); tile_y=floor(py/16); tile_idx=tile_y*tiles_per_row+tile_x	px:float,py:float,tiles_per_row:int	int	Vello	kt-de-bruijn-ctz.smt2	UNSAT	yes
kt_spatial_tile_index_shift	spatial.c	6.1 Tile Grid Partitioning	tile_idx=(py>>4)*tiles_per_row+(px>>4) (shift for power-of-2 tile_size=16)	px:int,py:int,tiles_per_row:int	int	Vello	kt-de-bruijn-ctz.smt2	UNSAT	yes
kt_spatial_insert_element	spatial.c	6.1 Tile Grid Partitioning	tx0=max(0,floor(bounds.x/16)); ty0=max(0,floor(bounds.y/16)); tx1=min(tpr-1,floor((x+w)/16)); ty1=min(tpc-1,floor((y+h)/16)); for ty: for tx: append	grid:KaintanaSpatialGrid*,element_index:int32_t,bounds:kt_Rect	void	Vello		UNSAT	no
kt_pulse_timestep	pulse.c	7.1 Frame Timing	dt=current_time_s-last_time_s; last_time_s=current_time_s	current_time:double,last_time:double*	float	ImGui	kt-frame-delta-clamp.smt2	UNSAT	yes
kt_pulse_timestep_clamp	pulse.c	7.1 Frame Timing	dt=fmax(MIN_DT,fmin(raw_dt,MAX_DT))	raw_dt:float	float	ImGui	kt-frame-delta-clamp.smt2	UNSAT	yes
kt_pulse_frame_independent_lerp	pulse.c	7.1 Frame Timing	factor=1.0-pow(1.0-speed,dt*target_fps); x=lerp(x,target,factor)	x:float*,target:float,speed:float,dt:float,target_fps:float	void	Universal	kt-frame-delta-clamp.smt2	UNSAT	no
kt_pulse_critically_damped_analytic	pulse.c	7.2 Spring Physics	x(t)=(x0-target+(v0+omega_n*(x0-target))*t)*exp(-omega_n*t)+target	x:float,v:float,target:float,omega_n:float,t:float	{float,float}	OpenSwiftUI	kt-spring-implicit-euler.smt2	UNSAT	no
kt_pulse_critically_damped_euler	pulse.c	7.2 Spring Physics	a=(-k*(x-target)-c*v)/m; v=v+a*dt; x=x+v*dt	x:float,v:float,target:float,k:float,c:float,m:float,dt:float	{float,float}	OpenSwiftUI	kt-spring-implicit-euler.smt2	UNSAT	no
kt_pulse_settled	pulse.c	7.2 Spring Physics	if abs(x-target)<epsilon AND (x-target)*v<=0: x=target; v=0; return true	x:float,v:float,target:float,epsilon:float	bool	OpenSwiftUI		UNSAT	no
kt_ease_smoothstep	kaintana.h	7.3 Smoothstep Easing	smoothstep(t)=t*t*(3.0-2.0*t)	t:float	float	Vello	kt-smoothstep-derivative.smt2	UNSAT	yes
kt_ease_smootherstep	kaintana.h	7.3 Smoothstep Easing	smootherstep(t)=t^3*(t*(t*6-15)+10)	t:float	float	Vello	kt-smoothstep-derivative.smt2	UNSAT	yes
kt_hash_fnv1a_64	hash_table.c	8.1 FNV-1a 64-bit	hash=0xcbf29ce484222325; while*key: hash^=(uint8_t)*key++; hash*=0x100000001b3; return hash	key:const char*	uint64_t	input_system.c,KUIF	kt-fnv1a-fast.smt2	UNSAT	yes
kt_hash_splitmix64	hash_table.c	8.1 FNV-1a 64-bit	hash^=hash>>30; hash*=0xbf58476d1ce4e5b9; hash^=hash>>27; hash*=0x94d049bb133111eb; hash^=hash>>31	hash:uint64_t	uint64_t	KUIF	kt-fnv1a-fast.smt2	UNSAT	yes
kt_arena_grow	arena.c	9.1 Arena Growth	if needed>capacity: new_cap=capacity+capacity/2; if new_cap<needed: new_cap=needed; realloc; capacity=new_cap	arena:KaintanaArena*,element_size:size_t,count_needed:int	bool	ImGui,Kain core	kt-arena-align.smt2	UNSAT	no
kt_arena_grow_align	arena.c	9.1 Arena Growth	aligned=((ptr)+(align)-1)&~((align)-1) (bitwise rounding up for pow2 align)	ptr:uintptr_t,align:size_t	uintptr_t	Kain core	kt-arena-align.smt2	UNSAT	yes
kt_arena_frame_marker	arena.c	9.1 Arena Growth	marker.lo=arena->low-arena->start; marker.hi=arena->high-arena->start	arena:KaintanaArena*	int[2]	Kain core	arena_proofs.yaml	UNSAT	yes
kt_arena_frame_release	arena.c	9.1 Arena Growth	arena->low=arena->start+marker.lo; arena->high=arena->start+marker.hi	arena:KaintanaArena*,marker:int[2]	void	Kain core	arena_proofs.yaml	UNSAT	yes
kt_tree_find_or_create_node	tree.c	10.1 Element Tree	hash=kt_hash_fnv1a_64(key); idx=hash_table_lookup(table,hash); if idx>=0: return idx; else: alloc+insert	session:KaintanaSession*,parent_idx:int32_t,stable_key:const char*	int32_t	KUIF,Slate	kt-fnv1a-stable-key.smt2	UNSAT	no
kt_tree_state_get_i64	tree.c	10.1 Element Tree	state_hash=hash(key); linear scan matching keys; return value or fallback	session:KaintanaSession*,key:const char*,fallback:int64_t	int64_t	KUIF	kt-fnv1a-stable-key.smt2	UNSAT	no
kt_tree_state_set_i64	tree.c	10.1 Element Tree	state_hash=hash(key); linear scan: if found update else append new entry	session:KaintanaSession*,key:const char*,value:int64_t	void	KUIF	kt-fnv1a-stable-key.smt2	UNSAT	no
kt_tree_state_get_f64	tree.c	10.1 Element Tree	state_hash=hash(key); linear scan matching keys; return value or fallback	session:KaintanaSession*,key:const char*,fallback:double	double	KUIF	kt-fnv1a-stable-key.smt2	UNSAT	no
kt_tree_state_set_f64	tree.c	10.1 Element Tree	state_hash=hash(key); linear scan: if found update else append	session:KaintanaSession*,key:const char*,value:double	void	KUIF	kt-fnv1a-stable-key.smt2	UNSAT	no
kt_tree_state_get_string	tree.c	10.1 Element Tree	state_hash=hash(key); linear scan matching keys; return value or fallback	session:KaintanaSession*,key:const char*,fallback:const char*	const char*	KUIF	kt-fnv1a-stable-key.smt2	UNSAT	no
kt_tree_state_set_string	tree.c	10.1 Element Tree	state_hash=hash(key); linear scan: if found update else append	session:KaintanaSession*,key:const char*,value:const char*	void	KUIF	kt-fnv1a-stable-key.smt2	UNSAT	no
kt_tree_vtable_dispatch	tree.c	10.1 Element Tree	slot=vtable->slots[index]; if(slot.fn){slot.fn(args);}	vtable:KaintanaVtable*,index:int	function pointer	Kaintana	kt-slot-dispatch-null-check.smt2	UNSAT	yes
kt_font_scale_for_px	font_system.c	11.1 Font Metrics	fheight=hhea.ascent-hhea.descent; scale=pixel_size/fheight	font_info:stbtt_fontinfo*,pixel_size:float	float	stb_truetype	font_proofs.yaml	UNSAT	no
kt_font_scaled_metrics	font_system.c	11.1 Font Metrics	scaled_ascent=hhea.ascent*scale; scaled_descent=hhea.descent*scale; scaled_lineGap=hhea.lineGap*scale; line_height=scaled_ascent-scaled_descent+scaled_lineGap	scale:float,hhea:{int,int,int}	KaintanaFontMetrics	stb_truetype	font_proofs.yaml	UNSAT	no
kt_font_measure_text_advance	font_system.c	11.1 Font Metrics	x+=g.xadvance*scale per codepoint	font:KaintanaFont*,text:const char*,len:int	float	ImGui,Nuklear	kt-glyph-advance-accum.smt2	UNSAT	no
kt_font_measure_text_kern	font_system.c	11.1 Font Metrics	if next_codepoint: x+=get_kerning(cp,next_cp)*scale (optional kerning)	font:KaintanaFont*,text:const char*,len:int	float	ImGui,Nuklear	kt-glyph-advance-accum.smt2	UNSAT	no
kt_font_glyph_bbox	font_system.c	11.2 Glyph Rendering	ix0=floor(x0*scale_x+shift_x); iy0=floor(-y1*scale_y+shift_y); ix1=ceil(x1*scale_x+shift_x); iy1=ceil(-y0*scale_y+shift_y)	glyph_bbox:{int,int,int,int},scale_x:float,scale_y:float,shift_x:float,shift_y:float	{int,int,int,int}	nuklear,stb_truetype	font_proofs.yaml	UNKNOWN	no
kt_font_atlas_size	font_system.c	11.3 Atlas Packing	surface_area=sum(glyph_rect_areas); needed=ceil(sqrtf(surface_area)); atlas_w=1; while atlas_w<needed: atlas_w<<=1; atlas_h=atlas_w	glyph_rects:array,n_glyphs:int	{int,int}	ImGui	font_proofs.yaml	UNSAT	no
kt_font_glyph_uv	font_system.c	11.3 Atlas Packing	u0=b.x0*ipw; v0=b.y0*iph; u1=b.x1*ipw; v1=b.y1*iph; ipw=1/atlas_w; iph=1/atlas_h	b:{uint16_t,uint16_t,uint16_t,uint16_t},atlas_w:int,atlas_h:int	{float,float,float,float}	stb_truetype,Nuklear	font_proofs.yaml	UNSAT	yes
kt_font_cursor_visible	font_system.c	11.4 Cursor and Selection	total_duration=on_ms+off_ms; time_in_cycle=fmod(time_since_interaction_ms,total_duration); return time_in_cycle<on_ms	time_since_interaction_ms:double,on_ms:double,off_ms:double	bool	egui		UNKNOWN	no
kt_font_hit_test_char	font_system.c	11.4 Cursor and Selection	find row at screen_y; for i=0..row.glyph_count: glyph_center=row.glyph_positions[i]+row.glyph_widths[i]/2; if screen_x<glyph_center: return row.start_char_index+i	layout:KaintanaTextLayout*,screen_x:float,screen_y:float	int	egui		UNKNOWN	no
kt_ease_in	kaintana.h	12.1 CSS Easing Curves	ease_in(t)=t^3	t:float	float	CSS	kt-cubic-bezier-ease.smt2	UNSAT	yes
kt_ease_out	kaintana.h	12.1 CSS Easing Curves	ease_out(t)=1-(1-t)^3	t:float	float	CSS	kt-cubic-bezier-ease.smt2	UNSAT	yes
kt_ease_in_out	kaintana.h	12.1 CSS Easing Curves	ease_in_out(t)=t<0.5?4*t^3:1-(2-2t)^3*0.5	t:float	float	CSS	kt-cubic-bezier-ease.smt2	UNSAT	no
kt_ease_cubic_bezier	kaintana.h	12.1 CSS Easing Curves	Newton iteration: t=0.5 init; for 5 iters: f=Bx(t)-x; fprime=dBx/dt; t=clamp(t-f/fprime,0,1); return By(t)	x1:float,y1:float,x2:float,y2:float,x:float	float	CSS	kt-cubic-bezier-ease.smt2	UNSAT	no
kt_ease_cubic_in	kaintana.h	12.1 CSS Easing Curves	ease_in(t)=t^3 (cubic)	t:float	float	CSS	kt-cubic-bezier-ease.smt2	UNSAT	yes
kt_ease_cubic_out	kaintana.h	12.1 CSS Easing Curves	ease_out(t)=1-(1-t)^3 (cubic)	t:float	float	CSS	kt-cubic-bezier-ease.smt2	UNSAT	yes
kt_ease_cubic_in_out	kaintana.h	12.1 CSS Easing Curves	ease_in_out(t)=t<0.5?4*t^3:1-(2-2t)^3*0.5 (cubic)	t:float	float	CSS	kt-cubic-bezier-ease.smt2	UNSAT	no
kt_layout_percentage_undefined_guard	box_math.c	1.1 Flex-Basis Resolution	if parentDim==YGUndefined and unit==PERCENT: resolved=YGUndefined	parent_dim:float,unit:int	float	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_remaining_space_sum_bases	box_math.c	1.2 Flex-Grow/Shrink Distribution	sum(child_base_sizes) for all children on line	children:array	float	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_remaining_space_sum_margins	box_math.c	1.2 Flex-Grow/Shrink Distribution	sum(child_main_margins) for all children on line	children:array	float	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_gap_flex_start	box_math.c	1.3 Justify-Content Distribution	gap=0 for FLEX_START	justify_mode:int,remaining:float,child_count:int	float	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_gap_center	box_math.c	1.3 Justify-Content Distribution	gap=remaining/2 for CENTER	justify_mode:int,remaining:float,child_count:int	float	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_gap_flex_end	box_math.c	1.3 Justify-Content Distribution	gap=remaining for FLEX_END	justify_mode:int,remaining:float,child_count:int	float	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_gap_space_between	box_math.c	1.3 Justify-Content Distribution	gap=remaining/(child_count-1) for SPACE_BETWEEN	justify_mode:int,remaining:float,child_count:int	float	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_gap_space_around	box_math.c	1.3 Justify-Content Distribution	gap=remaining/child_count for SPACE_AROUND	justify_mode:int,remaining:float,child_count:int	float	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_gap_space_evenly	box_math.c	1.3 Justify-Content Distribution	gap=remaining/(child_count+1) for SPACE_EVENLY	justify_mode:int,remaining:float,child_count:int	float	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_align_stretch	box_math.c	1.4 Cross-Axis Alignment	child.cross_size=line_cross-margin_cross for STRETCH	line_cross:float,margin_cross:float	float	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_align_flex_start	box_math.c	1.4 Cross-Axis Alignment	child.cross_start=line_cross_start+margin_cross_start for FLEX_START	line_cross_start:float,margin_cross_start:float	float	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_align_center	box_math.c	1.4 Cross-Axis Alignment	child.cross_start=line_cross_start+(line_cross-child_cross-margin_cross)/2 for CENTER	line_cross_start:float,line_cross:float,child_cross:float,margin_cross:float	float	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_align_flex_end	box_math.c	1.4 Cross-Axis Alignment	child.cross_start=line_cross_start+line_cross-child_cross-margin_cross_end for FLEX_END	line_cross_start:float,line_cross:float,child_cross:float,margin_cross_end:float	float	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_align_baseline	box_math.c	1.4 Cross-Axis Alignment	child.cross_start=line_baseline-child.baseline for BASELINE	line_baseline:float,child.baseline:float	float	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_desired_stretch_fit	box_math.c	1.7 Sizing Mode Resolution	measured_size=available_size for STRETCH_FIT mode	available_size:float	float	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_desired_max_content	box_math.c	1.7 Sizing Mode Resolution	measured_size=intrinsic_size(node) for MAX_CONTENT mode	intrinsic_size:float	float	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_desired_fit_content	box_math.c	1.7 Sizing Mode Resolution	measured_ideal=intrinsic_size(node); measured_size=min(measured_ideal,available_size) for FIT_CONTENT mode	intrinsic_size:float,available_size:float	float	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_constrain_stretch	box_math.c	1.7 Sizing Mode Resolution	if STRETCH_FIT: size=min(size,maxSize)	mode:int*,size:float*,maxSize:float	void	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_constrain_max_content	box_math.c	1.7 Sizing Mode Resolution	if MAX_CONTENT and minSize defined and size<minSize: size=minSize	mode:int*,size:float*,minSize:float	void	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_constrain_fit_content	box_math.c	1.7 Sizing Mode Resolution	if FIT_CONTENT and maxSize defined and size>maxSize: size=maxSize, mode=STRETCH_FIT; if minSize defined and size<minSize: size=minSize	mode:int*,size:float*,maxSize:float,minSize:float	void	Yoga	box_math_proofs.yaml	UNSAT	no
kt_draw_fill_rect_sse	draw_pixels.c	2.1 Fill Operations	SSE 4-pixel fill: __m128i; movntdq streaming store for 4 pixels/iteration	fb:uint32_t*,rect:kt_Rect,color:uint32_t,stride:int	void	ImGui	kt-draw-fill-rect-fast.smt2	UNSAT	yes
kt_draw_fill_rect_transparent_skip	draw_pixels.c	2.1 Fill Operations	if color alpha==0: skip entire fill (sa==0 preserves dst)	color:uint32_t	void	ImGui	kt-blend-div255.smt2	UNSAT	yes
kt_draw_fill_rect_opaque	draw_pixels.c	2.1 Fill Operations	if color alpha==255: out=src (no blend needed)	color:uint32_t	void	ImGui	kt-blend-div255.smt2	UNSAT	yes
kt_draw_rounded_interior_sq	draw_pixels.c	2.1 Fill Operations	interior test: dist_sq<=(radius-0.5)^2 -> fully covered, no sqrt	dist_sq:float,radius:float	float	Clay	kt-sdf-coverage-proof.smt2	UNSAT	yes
kt_draw_rounded_exterior_sq	draw_pixels.c	2.1 Fill Operations	exterior test: dist_sq>=(radius+0.5)^2 -> fully transparent, no sqrt	dist_sq:float,radius:float	float	Clay	kt-sdf-coverage-proof.smt2	UNSAT	yes
kt_draw_gradient_segment_precompute	draw_pixels.c	2.2 Gradient Operations	for each gradient stop pair: pixel_x_min, pixel_x_max, (dx,dy) fixed-point t denominator; precompute at gradient creation time	stops:array,rect:kt_Rect	GradSegment[]	Vello	kt-gradient-interp-proof.smt2	UNSAT	yes
kt_blend_srcover_float_channel	draw_pixels.c	2.3 Blend Operations	out.c = src.c + dst.c * (1.0 - src.a) per channel	src:kt_Color,dst:kt_Color	float	Vello	kt-blend-srcover-proof.smt2	UNSAT	yes
kt_blend_transparent_src	draw_pixels.c	2.3 Blend Operations	sa=0: out=dst (transparent src preserves dst)	src:uint32_t,dst:uint32_t	uint32_t	Vello	kt-blend-div255.smt2	UNSAT	yes
kt_blend_opaque_src	draw_pixels.c	2.3 Blend Operations	sa=255: out=src (opaque src overwrites dst exactly)	src:uint32_t,dst:uint32_t	uint32_t	Vello	kt-blend-div255.smt2	UNSAT	yes
kt_draw_glyph_uv	draw_pixels.c	2.4 Text/Glyph Quad Emission	u0=glyph.x0/atlas_w; v0=glyph.y0/atlas_h; u1=glyph.x1/atlas_w; v1=glyph.y1/atlas_h	glyph:struct,atlas_dim:{float,float}	{float,float,float,float}	ImGui		UNKNOWN	yes
kt_clip_intersect	draw_pixels.c	2.5 Clip and Transform Stacks	r.x=fmaxf(a.x,b.x); r.y=fmaxf(a.y,b.y); r.w=fminf(a.x+a.w,b.x+b.w)-r.x; r.h=fminf(a.y+a.h,b.y+b.h)-r.y; r.w=fmaxf(r.w,0); r.h=fmaxf(r.h,0)	a:kt_Rect,b:kt_Rect	kt_Rect	ImGui,Clay,Vello	kt-clip-intersect-proof.smt2	UNSAT	yes
kt_mat_mul_identity_left	draw_pixels.c	2.5 Clip and Transform Stacks	compose(identity,t)==t (identity is left identity)	a:kt_Matrix,b:kt_Matrix	kt_Matrix	Vello	kt-transform-compose-proof.smt2	UNSAT	yes
kt_mat_mul_identity_right	draw_pixels.c	2.5 Clip and Transform Stacks	compose(t,identity)==t (identity is right identity)	a:kt_Matrix,b:kt_Matrix	kt_Matrix	Vello	kt-transform-compose-proof.smt2	UNSAT	yes
kt_mat_mul_associative	draw_pixels.c	2.5 Clip and Transform Stacks	(A*B)*C==A*(B*C) (composition is associative under infinite precision)	a:kt_Matrix,b:kt_Matrix,c:kt_Matrix	kt_Matrix	Vello	kt-transform-compose-proof.smt2	UNSAT	yes
kt_blend_mix_color_dodge	kaintana.h	4.4 Porter-Duff Compositing	if cb==0:0; if cs==1:1; else min(1,cb/(1-cs))	cb:float,cs:float	float	Vello		UNKNOWN	no
kt_blend_mix_color_burn	kaintana.h	4.4 Porter-Duff Compositing	if cb==1:1; if cs==0:0; else 1-min(1,(1-cb)/cs)	cb:float,cs:float	float	Vello		UNKNOWN	no
kt_blend_mix_hard_light	kaintana.h	4.4 Porter-Duff Compositing	cs<=0.5?2*cb*cs:screen(cb,2*cs-1)	cb:float,cs:float	float	Vello		UNKNOWN	no
kt_blend_mix_soft_light	kaintana.h	4.4 Porter-Duff Compositing	complex (Vello blend.wgsl:35-43)	cb:float,cs:float	float	Vello		UNKNOWN	no
kt_blend_mix_hue	kaintana.h	4.4 Porter-Duff Compositing	set_lum(set_sat(cs,sat(cb)),lum(cb))	cb:kt_Color,cs:kt_Color	kt_Color	Vello		UNKNOWN	no
kt_blend_mix_saturation	kaintana.h	4.4 Porter-Duff Compositing	set_lum(set_sat(cb,sat(cs)),lum(cb))	cb:kt_Color,cs:kt_Color	kt_Color	Vello		UNKNOWN	no
kt_blend_mix_color	kaintana.h	4.4 Porter-Duff Compositing	set_lum(cs,lum(cb))	cb:kt_Color,cs:kt_Color	kt_Color	Vello		UNKNOWN	no
kt_blend_mix_luminosity	kaintana.h	4.4 Porter-Duff Compositing	set_lum(cb,lum(cs))	cb:kt_Color,cs:kt_Color	kt_Color	Vello		UNKNOWN	no
kt_opacity_identity	kaintana.h	4.6 Opacity Stacking	opacity 1.0 is identity: x*1.0==x	c:kt_Color	kt_Color	Vello	kt-opacity-stack-proof.smt2	UNSAT	yes
kt_opacity_zero	kaintana.h	4.6 Opacity Stacking	opacity 0.0 yields transparent black: all channels zero	c:kt_Color	kt_Color	Vello	kt-opacity-stack-proof.smt2	UNSAT	yes
kt_opacity_commutative	kaintana.h	4.6 Opacity Stacking	apply(p,apply(q,c))==apply(q,apply(p,c)) (stacking is commutative)	p:float,q:float,c:kt_Color	kt_Color	Vello	kt-opacity-stack-proof.smt2	UNSAT	yes
kt_opacity_associative	kaintana.h	4.6 Opacity Stacking	apply(p*q,c)==apply(p,apply(q,c)) within +-1 (stacking is associative)	p:float,q:float,c:kt_Color	kt_Color	Vello	kt-opacity-stack-proof.smt2	UNSAT	yes
kt_opacity_identity_u8	kaintana.h	4.6 Opacity Stacking	div255(c*255)==c for all 8-bit channels (integer identity)	c:uint8_t,opacity_255:uint8_t	uint8_t	Vello	kt-opacity-stack-proof.smt2	UNSAT	yes
kt_damage_overlap_area	damage.c	3.3 Damage Rect Accumulation	overlap_area=intersect_area(E,R)	E:kt_Rect,R:kt_Rect	float	Clay	damage_proofs.yaml	UNSAT	yes
kt_damage_union_area	damage.c	3.3 Damage Rect Accumulation	union_area=area(rect_union(E,R))	E:kt_Rect,R:kt_Rect	float	Clay	damage_proofs.yaml	UNSAT	yes
kt_damage_cascade_layout	damage.c	3.1 Dirty Flag Propagation	cascade[LAYOUT] = PREPASS | PAINT	reason:uint16_t	uint16_t	Slate	damage_proofs.yaml	UNSAT	no
kt_damage_cascade_volatility	damage.c	3.1 Dirty Flag Propagation	cascade[VOLATILITY] = PAINT	reason:uint16_t	uint16_t	Slate	damage_proofs.yaml	UNSAT	no
kt_damage_cascade_child_order	damage.c	3.1 Dirty Flag Propagation	cascade[CHILD_ORDER] = PREPASS | LAYOUT	reason:uint16_t	uint16_t	Slate	damage_proofs.yaml	UNSAT	no
kt_hit_active_id_lock	hit_test.c	5.1 Spatial Queries	on PRESSED: hit=kt_hit_test_z_ordered(session,px,py); if hit>=0: session.active_id=hit (capture for release)	session:KaintanaSession*,px:float,py:float	void	ImGui		UNKNOWN	no
kt_hit_active_id_fire	hit_test.c	5.1 Spatial Queries	on RELEASED_THIS_FRAME and active_id>=0: fire_callback(session,active_id,click); session.active_id=-1	session:KaintanaSession*	void	ImGui		UNKNOWN	no
kt_spatial_tile_x	spatial.c	6.1 Tile Grid Partitioning	tile_x=floor(px/TILE_SIZE) where TILE_SIZE=16	px:float	int	Vello		UNKNOWN	yes
kt_spatial_tile_y	spatial.c	6.1 Tile Grid Partitioning	tile_y=floor(py/TILE_SIZE) where TILE_SIZE=16	py:float	int	Vello		UNKNOWN	yes
kt_spatial_tile_count	spatial.c	6.1 Tile Grid Partitioning	tiles_per_row=ceil(viewport_w/16); tiles_per_col=ceil(viewport_h/16); total_tiles=tiles_per_row*tiles_per_col	viewport_w:int,viewport_h:int	{int,int}	Vello		UNKNOWN	yes
kt_pulse_decay_check	pulse.c	7.2 Spring Physics	if |decay|>20.0: return target (beyond FP precision)	omega_n:float,t:float	bool	OpenSwiftUI	kt-spring-implicit-euler.smt2	UNSAT	no
kt_pulse_spring_energy	pulse.c	7.2 Spring Physics	energy non-increasing for dt=1/60 (semi-implicit Euler stability)	x:float,v:float,k:float,m:float,dt:float	bool	OpenSwiftUI	kt-spring-implicit-euler.smt2	UNSAT	no
kt_hash_fnv1a_4byte_unroll	hash_table.c	8.1 FNV-1a 64-bit	4-byte loop unrolling equivalent to byte-by-byte FNV-1a processing	key:const char*	uint64_t	input_system.c	kt-fnv1a-fast.smt2	UNSAT	yes
kt_arena_grow_15x	arena.c	9.1 Arena Growth	new_cap=capacity+capacity/2 (1.5x geometric growth factor)	capacity:int	int	ImGui	arena_proofs.yaml	UNSAT	yes
kt_arena_grow_exact	arena.c	9.1 Arena Growth	if new_cap<needed: new_cap=needed (exact fit when growth insufficient)	new_cap:int,needed:int	int	ImGui	arena_proofs.yaml	UNSAT	yes
kt_tree_hash_table_lookup	tree.c	10.1 Element Tree	hash_table_lookup(session->stable_key_table,hash): O(1) probe in 4096-slot hash table	table:hash_table,hash:uint64_t	int32_t	KUIF	kt-fnv1a-stable-key.smt2	UNSAT	yes
kt_tree_arena_alloc_node	tree.c	10.1 Element Tree	arena_alloc_node(session): allocate new node from frame arena	session:KaintanaSession*	int32_t	KUIF	arena_proofs.yaml	UNSAT	yes
kt_tree_hash_table_insert	tree.c	10.1 Element Tree	hash_table_insert(session->stable_key_table,hash,idx); O(1) amortized insertion	table:hash_table,hash:uint64_t,idx:int32_t	void	KUIF	kt-fnv1a-stable-key.smt2	UNSAT	yes
kt_tree_vtable_null_check	tree.c	10.1 Element Tree	slot=vtable->slots[index]; if(slot.fn){slot.fn(args);} (null-slot skip)	vtable:KaintanaVtable*,index:int	void	Kaintana	kt-slot-dispatch-null-check.smt2	UNSAT	yes
kt_font_scale_for_px_denom	font_system.c	11.1 Font Metrics	fheight=hhea.ascent-hhea.descent (>0 for any valid font)	font_info:stbtt_fontinfo*	float	stb_truetype	font_proofs.yaml	UNSAT	yes
kt_font_scaled_ascent	font_system.c	11.1 Font Metrics	scaled_ascent=hhea.ascent*scale (positive)	scale:float,ascent:int	float	stb_truetype	font_proofs.yaml	UNSAT	yes
kt_font_scaled_descent	font_system.c	11.1 Font Metrics	scaled_descent=hhea.descent*scale (negative)	scale:float,descent:int	float	stb_truetype	font_proofs.yaml	UNSAT	yes
kt_font_line_height	font_system.c	11.1 Font Metrics	line_height=scaled_ascent-scaled_descent+scaled_lineGap	ascent:float,descent:float,lineGap:float	float	stb_truetype	font_proofs.yaml	UNSAT	yes
kt_font_measure_text_accum	font_system.c	11.1 Font Metrics	advance accumulation is associative and additive: measure(A+B)==measure(A)+measure(B)	font:KaintanaFont*	float	ImGui	kt-glyph-advance-accum.smt2	UNSAT	yes
kt_font_atlas_glyph_fit	font_system.c	11.3 Atlas Packing	all glyph rects fit within atlas dimensions (surface_area sum <= atlas_w*atlas_h)	glyph_rects:array,atlas_w:int,atlas_h:int	bool	ImGui	font_proofs.yaml	UNSAT	yes
kt_smoothstep_derivative	kaintana.h	7.3 Smoothstep Easing	smoothstep_derivative(t)=6t(1-t); zero slope at t=0 and t=1	t:float	float	Vello	kt-smoothstep-derivative.smt2	UNSAT	yes
kt_smoothstep_symmetry	kaintana.h	7.3 Smoothstep Easing	smoothstep(t)+smoothstep(1-t)=1 (symmetry property)	t:float	float	Vello	kt-smoothstep-derivative.smt2	UNSAT	yes
kt_ease_cubic_bezier_bounds	kaintana.h	12.1 CSS Easing Curves	B(0)=0; B(1)=1; Bx monotonic on [0,1] with dBx/dt>0.87>0	x1:float,y1:float,x2:float,y2:float	{float,float,float,float}	CSS	kt-cubic-bezier-ease.smt2	UNSAT	no
kt_blend_pd_fa_fb_table	kaintana.h	4.4 Porter-Duff Compositing	PD_FA[13] and PD_FB[13] coefficient tables for 13 blend modes	mode:int	{float,float}	Vello		UNKNOWN	yes
kt_draw_circle_sdf_boundary	draw_pixels.c	2.1 Fill Operations	Circle SDF gives zero distance on exact boundary (d=0 at r)	dist:float,r:float	float	ImGui,Clay	kt-fill-circle-proof.smt2	UNSAT	yes
kt_draw_rounded_rect_sdf_corner	draw_pixels.c	2.1 Fill Operations	Corner region SDF matches quarter-circle Euclidean distance	p:kt_Vec2,corner_center:kt_Vec2,radius:float	float	Clay	kt-fill-rounded-rect-proof.smt2	UNSAT	yes
