type	section	name	path	description
header	kain_render_software	kain_render_software.h	include/kain_render_software.h	NEW - Phase 1 substrate: software draw primitives + clip + transform stacks.
header	version	version.h	include/version.h	ABI/runtime version constants.
header	virtual_alloc	virtual_alloc.h	include/virtual_alloc.h	OS page management.
header	vulkan_loader_subset	vulkan_loader_subset.h	include/vulkan_loader_subset.h	Minimal Vulkan loader bindings.
header	ffmpeg_version_subset	ffmpeg_version_subset.h	include/ffmpeg_version_subset.h	Minimal FFmpeg version constants.
header	c_runtime_math_subset	c_runtime_math_subset.h	include/c_runtime_math_subset.h	Minimal C math subset for build environments without full libm.
header	win32	win32.h	include/win32.h	Win32 shared helpers.
header	wire	wire.h	include/wire.h	Data wire encoding.
header	self_updating_ptr	self_updating_ptr.h	include/self_updating_ptr.h	Self-updating pointer relocation.
header	ray_sphere_benchmark	ray_sphere_benchmark.h	include/ray_sphere_benchmark.h	Ray-sphere benchmark declarations.
service	services	base.memory	native-core	Core allocation, retain/release, memory management
service	services	memory.ownership	native-core	Collapse/observe/decay ownership guards
service	services	memory.shared-fanout	native-core	Shared-memory fanout over OS threads
service	services	memory.atomic-seqcst	native-core	SeqCst atomic cell ABI
service	services	memory.atomic-v2	native-core	Ordered atomic load/store/RMW/fence
service	services	memory.volatile	native-core	MMIO volatile load/store
service	services	base.diagnostics	native-core	Structured diagnostics and error reporting
service	services	contract	native-core	Runtime contract loading and validation
service	services	cpu.capabilities	native-core	CPU feature bits for converge selectors
service	services	machine.stones	native-core	Axiom, pulse, shatter, teleport runtime
service	services	machine.topology	native-core	CPU count, thread identity, affinity
service	services	machine.virtual-memory	native-core	Page map/unmap/protect
service	services	control.converge.autotune	native-core	Converge lane selection + telemetry
service	services	control.runtime-tiers	native-core	Noop/gated/full control tiers
service	services	runtime.profile	native-core	Scoped profiling zones
service	services	memory.handles	native-core	Generation-tagged runtime handles
service	services	memory.fixup	native-core	Relocation fixup registry
service	services	data.json	native-core	JSON parse/render helpers
service	services	interop.shared-contracts	native-core	Shared buffer/image contracts
service	services	actor.runtime	native-core	Actor spawn, mailbox, lifecycle, scheduling
service	services	actor.registry	native-core	Named actor registration
service	services	async.runtime	native-core	Task/future execution, wake/poll
service	services	async.timers	native-core	Timer registration and wake
service	services	io.net	native-core	TCP, HTTP, HTTPS client/server
service	services	io.process	native-core	Child process, pipe, PTY
service	services	platform.app-host	platform-win32	Win32 app/window host (win32 only)
service	services	platform.input	platform-win32	Input sessions, actions, replay (win32 only)
service	services	platform.library	native-core	Dynamic library open/resolve/close
service	services	gfx.raw-native	native-core	Buffer, SPIR-V, pipeline, draw commands
service	services	gfx.shader.spirv	native-core	Shader payload registration
service	services	gfx.compute	native-core	Compute dispatch validation and handoff
service	services	gfx.compute.cuda	native-core	CUDA PTX dispatch bridge (degraded)
service	services	gfx.backend.vulkan	native-core	Vulkan backend via vulkan_surface_shim.c + libkain-vulkan-abi.so (57 PFNs, WSI surfaces, swapchain)
service	services	gfx.backend.d3d12	native-core	DirectX 12 backend via d3d12_surface_shim.c + libkain-d3d12-abi.dll (mesh shader pipeline)
service	services	gfx.backend.webgpu	native-core	WebGPU backend via webgpu_surface_shim.c + libkain-webgpu-abi.so (wgpu-native, WASM, WGSL subgroup)
service	services	gfx.viewport	platform-win32	Window handles and presenter attachment (degraded)
service	services	scene.runtime	native-core	Scene handles and state access
service	services	scene.query	native-core	Picking, raycast, bounds, visibility
service	services	scene.mutation	native-core	Transactional scene mutations
service	services	asset.ingestion	native-core	Descriptor-driven asset entry
service	services	asset.realtime	native-core	Realtime bundle loading
service	services	asset.gltf	native-core	glTF loader removed; blade-owned loaders (degraded)
service	services	ui.bundle	native-core	Compiled UI bundle loading
service	services	ui.component	native-core	Component state, invalidation, focus
service	services	reflection	native-core	Reflection payload + type lookup
service	services	runtime.inspection	native-core	Scene, resource, binding inspection
service	services	device.reflection	native-core	Backend, GPU, display descriptors
service	services	compatibility	native-core	Version check, migration, hot reload
service	services	host.bridge	native-core	Plugin and foreign service integration
backend	gpu	Vulkan	vulkan_surface_shim.c / libkain-vulkan-abi.so	Win32, Linux X11, Linux Wayland, macOS (MoltenVK). 43+ PFNs, 57 PFN table, 18 vtable slots, WSI surfaces, swapchain.
backend	gpu	D3D12	d3d12_surface_shim.c / libkain-d3d12-abi.dll	Windows only. Direct3D 12 backend, native mesh shader pipeline (Mesh + Task stages).
backend	gpu	WebGPU	webgpu_surface_shim.c / libkain-webgpu-abi.so	Native (wgpu-native) + WASM (browser). WGSL subgroup intrinsics.
build_target	make	make (all)	Makefile	Compile all .o files (clang, C11, -Wall -Wextra)
build_target	make	make lib	Makefile	Static library (_build/lib/libkain_runtime.a/.lib)
build_target	make	make shared	Makefile	Shared library (_build/lib/libkain_runtime.so/.dylib/.dll)
build_target	make	make test	Makefile	Build + run smoke + property tests (ASan+UBSan)
build_target	make	make fuzz	Makefile	Build libFuzzer harnesses
build_target	make	make stress	Makefile	Build + run stress tests (TSan)
build_target	make	make clean	Makefile	Remove build artifacts
platform	portability	Windows	Win32	MSVC/clang-cl. Full service coverage (11/11). Key abstractions: CRITICAL_SECTION, HANDLE, VEH, VirtualAlloc, WS2_32, WinHTTP.
platform	portability	Linux	POSIX	GCC/clang. Core service coverage (5/11). Key abstractions: pthread_mutex_t, pthread_cond_t, sigaction, mmap, POSIX sockets.
platform	portability	macOS	POSIX	Apple clang. Core service coverage (5/11). Key abstractions: same POSIX base as Linux.
tier	runtime-tiers	KAIN_RUNTIME_TIER_NOOP	include/runtime_tiers.h	Removed at compile time. Default (Debug): not set. Default (Release): not set.
tier	runtime-tiers	KAIN_RUNTIME_TIER_GATED	include/runtime_tiers.h	Active but low-cost. Default (Debug): not set. Default (Release): diagnostics, profiling, fixup.
tier	runtime-tiers	KAIN_RUNTIME_TIER_FULL	include/runtime_tiers.h	Full instrumentation. Default (Debug): diagnostics, profiling, fixup. Default (Release): not set.
